date,target_swe,ERA5,LSTM_avg,GRU_avg
2022-01-01,,65.27209847803962,68.13195489283456,65.77645311292065
2022-01-02,,65.2652459960125,61.14669092704277,61.42916798700313
2022-01-03,,65.3576866570215,60.3339172783594,61.81618041426943
2022-01-04,,65.5980662988231,60.63125054107163,62.88241550193284
2022-01-05,,71.32602888672184,65.13029917805027,74.22911576359104
2022-01-06,,72.78754117965721,64.95209348678611,73.53010352134727
2022-01-07,,73.94737464750908,66.68795196379327,77.27128756756686
2022-01-08,,74.71305470609015,78.76835370206183,81.66783318661993
2022-01-09,,75.11399275103138,88.65624891558215,88.25598913469837
2022-01-10,103.0,75.6443816445635,89.20221989377004,89.05005257351857
2022-01-11,,75.72990197718866,88.7123158413244,83.64530973017938
2022-01-12,,75.74106270286642,87.82333389732443,83.84862572166524
2022-01-13,,75.85758882050527,88.56734605317129,84.11797681336415
2022-01-14,,77.11437473208686,90.59137325198432,86.77904634387275
2022-01-15,,82.8542782787654,96.38504838984939,93.39194133323164
2022-01-16,,84.79692301026608,98.334398023999,96.83217224351193
2022-01-17,,89.68579578163019,103.23366660835138,103.08031177284113
2022-01-18,,91.7994472552028,105.278044896194,105.31738148219253
2022-01-19,,92.13294602158044,105.6498298716781,105.73010826828454
2022-01-20,113.0,92.51264815687333,105.98842540144119,105.99220939039382
2022-01-21,,92.6212023275995,106.01325078188418,106.00705228029726
2022-01-22,,92.73338627840926,106.09331517245224,106.08404374148299
2022-01-23,,92.765172296525,106.11472368812656,106.12048407173252
2022-01-24,,92.79224299284984,106.14925078246165,106.18549574706125
2022-01-25,,92.86002150319692,106.22315836690541,106.30475817464466
2022-01-26,,93.857736101705,107.24157113130704,107.31231564577237
2022-01-27,,95.94547026701674,109.36622756071793,109.36287901945816
2022-01-28,,96.0002901232334,109.44113847375829,109.44094926477392
2022-01-29,,96.00975468999358,109.46958402043792,109.4886821115634
2022-01-30,,96.04371179152392,109.47021497298144,109.46994393874073
2022-01-31,115.0,96.1006348847984,109.50722210403667,109.4180680513023
2022-02-01,,96.11749470443932,109.53324425430506,109.35360615463465
2022-02-02,,96.12580588313553,109.59064715358231,109.33879378291581
2022-02-03,,96.14035892664845,109.19123459040577,109.49020481287891
2022-02-04,,96.15263911721183,109.66471930977775,94.81493731972648
2022-02-05,,96.16190014490198,109.6878734649093,100.38201332696985
2022-02-06,,96.17295910104464,109.68317352517795,107.05155831559848
2022-02-07,,96.1804561234604,109.66844802867281,109.0916377640854
2022-02-08,,96.7313685398955,110.20710878189989,109.62078065689988
2022-02-09,,97.27851548353344,110.73484044233471,110.1354239002815
2022-02-10,118.0,97.3863572675142,110.80558296026322,110.29027477087114
2022-02-11,,97.3965002978414,110.08564061766563,110.35262460356651
2022-02-12,,97.64827812756934,106.6705710276548,110.58766602124611
2022-02-13,,100.17718322734764,109.67211091976097,108.76581094722678
2022-02-14,,102.47663194875362,114.61476347188595,109.12362043599728
2022-02-15,130.0,107.0323451855237,120.44712847257203,116.06824482465333
2022-02-16,,109.30150050866138,122.61447791802416,122.39998626458177
2022-02-17,,109.60541826351616,121.34185491665338,122.99620081051323
2022-02-18,,109.51653953623416,120.87492157053592,123.08460670542361
2022-02-19,,109.46321229986496,120.31303796819994,123.03881692938157
2022-02-20,130.0,109.4623642204062,120.075373005654,122.96826002576509
2022-02-21,,109.4028290423986,119.82592703434196,122.79249006839957
2022-02-22,,109.29705657229728,119.63760747180291,122.5337690280468
2022-02-23,,109.90187291913352,120.36638536267601,122.96605615430198
2022-02-24,,110.41689461287228,121.35319298323361,123.37742374953
2022-02-25,120.0,110.372048171091,122.47124670319549,123.32847441010468
2022-02-26,,112.7652266342834,124.88376377417596,125.70019348456415
2022-02-27,,113.05133472050343,125.21374011601124,125.97744842137013
2022-02-28,122.0,113.03762975644926,125.22874208402496,126.05439725828032
2022-03-01,,113.32826115542652,125.50639016085866,126.45817372256519
2022-03-02,,113.11812110967035,125.24048839635248,126.20782924718256
2022-03-03,,113.03063263215142,125.13455547608453,126.06469787873345
2022-03-04,,113.04342550457858,125.17043432415866,126.07834753216648
2022-03-05,135.0,113.05506447991368,125.22072266777988,126.09965562066074
2022-03-06,,112.6597316435314,124.80079285416373,125.59441429886587
2022-03-07,,113.53458564813168,125.66387146050961,126.36168296868831
2022-03-08,,112.35161034936596,124.59399468774487,125.31636235589671
2022-03-09,,112.32160902497276,124.72565660950644,125.7251280832003
2022-03-10,132.0,112.2611909732332,124.83882044405838,125.89283178896805
2022-03-11,,112.1941572448326,124.9691437026573,125.84539416042098
2022-03-12,,112.2120118791702,125.2948795015457,125.85227734395292
2022-03-13,,111.40268384410358,124.97493936015583,125.0087301392696
2022-03-14,,110.44424922680275,124.05414130901711,124.00270049785988
2022-03-15,135.0,110.20319243162706,123.83407431334092,123.83510313719346
2022-03-16,,110.1356663738005,123.78124437673019,123.80938368184493
2022-03-17,,110.1119191716462,123.74338031513985,123.77133346302803
2022-03-18,,110.10094945662446,123.6255893492026,123.74457299941011
2022-03-19,,110.08957972394418,123.37612986432505,123.71580252515268
2022-03-20,127.0,110.0925721637362,123.43631186405358,123.69719538608726
2022-03-21,,110.04462389323804,123.41929334971996,123.61103052470776
2022-03-22,,109.6328287916759,123.04576443010365,123.1108208494762
2022-03-23,,108.94583692630802,122.3901309021381,122.31476564487491
2022-03-24,,108.27123791570872,121.76386963720532,121.65348717565746
2022-03-25,140.0,107.90194469037029,121.4477464252946,121.45907531323405
2022-03-26,,107.92352256599152,121.51241988959991,121.57954597297393
2022-03-27,,107.18028206371004,120.79015640758212,120.82698921703036
2022-03-28,,106.19844641338253,119.81327376018427,119.81770071636103
2022-03-29,,106.56752424459714,120.2023057005908,120.2331099532153
2022-03-30,,106.48129736123217,120.13127161202563,120.09692217049731
2022-03-31,138.0,107.12572580919807,120.74128843889778,120.6017998372132
2022-04-01,,108.25286787400334,121.85810755143254,120.49610880265325
2022-04-02,,109.8481921449354,104.32640221268441,113.31976690441873
2022-04-03,,112.07892908122088,94.34765886332536,105.76960443522478
2022-04-04,,114.7434620902902,96.84759607771696,102.69776384095015
2022-04-05,48.0,117.92127160384346,100.02170857741524,102.70311993910957
2022-04-06,,122.27674848953906,104.58222830216114,107.3272724382085
2022-04-07,,126.18818269627344,111.81590467350733,111.60010000126613
2022-04-08,,128.50897745426948,133.40898641880807,113.6572902136689
2022-04-09,,131.04956653035848,134.17068784154623,116.00703856862751
2022-04-10,,133.4141632219686,133.96441780532737,118.29394284690757
2022-04-11,,135.09168342909075,130.39774336179948,119.91993622144915
2022-04-12,,136.22634890293614,126.6925606033756,121.0400480530216
2022-04-13,,136.8731928421481,122.7510921074374,122.06685777439907
2022-04-14,,137.1549129708475,127.09124767620028,122.32457334834994
2022-04-15,,137.25949451062328,120.3407517585481,122.1311305198396
2022-04-16,,137.30533499576663,119.78085989811038,122.20089888431644
2022-04-17,,137.32436660513812,119.697680127477,122.24476817831928
2022-04-18,,137.33085150679543,119.8724038597007,122.27718348463966
2022-04-19,,137.33275159067367,120.11406052774642,122.30402558511946
2022-04-20,,137.3331208377431,120.41037494235736,122.33038932376606
2022-04-21,,137.33341315833977,120.55689452735832,122.36060374824456
2022-04-22,,137.33353624069625,120.8422434779399,122.49802159988815
2022-04-23,,137.33317468627408,121.20796964629605,122.88445947631314
