date,target_swe,ERA5,BiLSTM_avg,Transformer_avg
2022-01-01,,65.27209847803962,65.00108283396614,81.93002656336678
2022-01-02,,65.2652459960125,65.51297097016791,80.71460588981132
2022-01-03,,65.3576866570215,66.0217455330591,79.92516979605959
2022-01-04,,65.5980662988231,66.8054710076854,76.95558001265977
2022-01-05,,71.32602888672184,71.00874716369938,56.873985448764074
2022-01-06,,72.78754117965721,74.84352491378806,80.90261962890648
2022-01-07,,73.94737464750908,77.08357269133232,92.11765968168876
2022-01-08,,74.71305470609015,83.99555039548224,91.58381505154912
2022-01-09,,75.11399275103138,89.69736429491566,92.00144087114856
2022-01-10,103.0,75.6443816445635,90.39246037228567,92.69134781582815
2022-01-11,,75.72990197718866,90.36909417689569,92.0813967663122
2022-01-12,,75.74106270286642,90.32762581321798,91.835523380967
2022-01-13,,75.85758882050527,90.32452664856923,91.35476327424063
2022-01-14,,77.11437473208686,91.03251476199408,90.13202266604682
2022-01-15,,82.8542782787654,96.03866815608474,66.46791791957351
2022-01-16,,84.79692301026608,99.08096975556637,100.80146078339841
2022-01-17,,89.68579578163019,104.18708362342707,108.35442905189386
2022-01-18,,91.7994472552028,106.01399937159684,78.33695717341568
2022-01-19,,92.13294602158044,107.00817795517419,110.33408928635095
2022-01-20,113.0,92.51264815687333,106.25909800886306,109.47822451948318
2022-01-21,,92.6212023275995,105.28969044863223,108.85816197573183
2022-01-22,,92.73338627840926,105.30337901141097,108.48183159853866
2022-01-23,,92.765172296525,105.2859055576334,107.99988813972568
2022-01-24,,92.79224299284984,105.40299815032054,107.9492256054597
2022-01-25,,92.86002150319692,105.6822217061388,107.7853768422472
2022-01-26,,93.857736101705,106.65815562303678,106.80842732484953
2022-01-27,,95.94547026701674,109.42648776121841,102.17871563978896
2022-01-28,,96.0002901232334,110.46325208307226,113.27645436883886
2022-01-29,,96.00975468999358,110.66024049169036,112.54153359776947
2022-01-30,,96.04371179152392,110.50584443617724,110.13972714949512
2022-01-31,115.0,96.1006348847984,110.46733257766948,109.89080193039165
2022-02-01,,96.11749470443932,110.51880848617762,111.3677348396322
2022-02-02,,96.12580588313553,110.54069540950272,111.0960333153865
2022-02-03,,96.14035892664845,110.5537084597295,110.74259376704151
2022-02-04,,96.15263911721183,110.54781371590568,110.59265223977043
2022-02-05,,96.16190014490198,110.60423946985316,110.61143131860804
2022-02-06,,96.17295910104464,110.60930935128879,110.73902603372287
2022-02-07,,96.1804561234604,110.61559253703463,110.8260491944443
2022-02-08,,96.7313685398955,111.14016160782762,110.95558194931932
2022-02-09,,97.27851548353344,111.79733567396313,111.0512882725349
2022-02-10,118.0,97.3863572675142,109.04167552770707,113.33930698217485
2022-02-11,,97.3965002978414,106.25037984496055,112.86938428526817
2022-02-12,,97.64827812756934,106.0298893794004,111.79577339734473
2022-02-13,,100.17718322734764,108.50617721538474,108.83391678790977
2022-02-14,,102.47663194875362,111.8507282469714,114.96863844136837
2022-02-15,130.0,107.0323451855237,121.79970415616579,122.86475084806031
2022-02-16,,109.30150050866138,124.01750221001635,126.26496829735765
2022-02-17,,109.60541826351616,122.55814815624687,126.96261621578667
2022-02-18,,109.51653953623416,123.05990634989382,125.69874855112673
2022-02-19,,109.46321229986496,122.71907472662278,123.95558004431078
2022-02-20,130.0,109.4623642204062,122.43974497296968,122.97488214948335
2022-02-21,,109.4028290423986,122.0924862537023,122.61777807804313
2022-02-22,,109.29705657229728,121.61369837985345,122.38859805331535
2022-02-23,,109.90187291913352,121.58755960278832,122.39786538892113
2022-02-24,,110.41689461287228,121.6083072524902,121.41532562788693
2022-02-25,120.0,110.372048171091,121.60682228379241,125.83946378998749
2022-02-26,,112.7652266342834,123.54325044943842,126.2249871094421
2022-02-27,,113.05133472050343,123.46144691075001,120.56447057689343
2022-02-28,122.0,113.03762975644926,123.84871087980132,129.8309340090738
2022-03-01,,113.32826115542652,124.11567408496144,128.60267769747972
2022-03-02,,113.11812110967035,123.24959789342279,126.38509155339594
2022-03-03,,113.03063263215142,123.02281278885918,125.4008003643902
2022-03-04,,113.04342550457858,123.27423452557468,128.72626260937596
