seed,MAE,RMSE,R2,NSE,KGE,Willmott's d,PBIAS (%),RSR,MAPE (%),SMAPE (%),Explained Var,Pearson r,p_value,improved_%,mean_correction,std_correction,max_abs_correction
42,9.712429252830711,18.522404098427955,0.8708972589448885,0.8708972589448886,0.9002819448859675,0.9646843571105822,2.436668461239381,0.3593086988301692,16.809669847854526,12.368954672460832,0.8731825301937542,0.9344588600446964,3.3629185054451227e-06,81.08108108108108,1.5822872261743288,7.635354404830331,13.536144256591797
123,8.662685961336702,18.55140346850177,0.8704926863052749,0.870492686305275,0.8908202577357677,0.9641185193802878,3.5898141335955853,0.35987124599590137,16.266851961178517,10.356215902495562,0.8754527676373154,0.9358015715104581,1.264706952497363e-07,89.1891891891892,2.019099449789202,7.564202213380369,14.470002174377441
456,8.902007386491105,17.146276132626983,0.8893680975917795,0.8893680975917796,0.8961534962930638,0.9695405812860933,3.561771623212759,0.332613743564739,16.382033181047206,11.7677247732436,0.8942509883780279,0.9460426649787033,2.148881321772933e-07,86.48648648648648,1.965143616135056,7.435889912970129,14.50794506072998
789,9.055432783590781,19.425898510550507,0.8579952131396692,0.8579952131396693,0.88546641018881,0.9609088228521387,4.058472400422551,0.3768352250788668,17.070098875691258,11.405649548337507,0.8643349329665612,0.929756651200066,2.148881321772933e-07,89.1891891891892,2.2278465188636973,7.447109367733968,14.578322410583496
1024,9.820472201785526,18.715891488875535,0.8681859237240833,0.8681859237240834,0.8995119928554094,0.9639693051176162,2.3677057279487275,0.3630620832252145,16.67300774226781,12.068300252126601,0.8703436697290426,0.932930330173222,8.218921720981598e-07,81.08108108108108,1.1985736996740908,7.605868841434942,13.993340492248535
2048,8.217039211376294,17.207172713866164,0.8885808632903246,0.8885808632903247,0.9027484280789646,0.9695873541150244,3.624574517515525,0.3337950519549448,14.992888626930645,10.112530455399298,0.8936374672132533,0.9454841549355888,2.9613147489726543e-08,83.78378378378379,2.168126149757488,7.708978161733391,14.649081230163574
4096,8.227458850757495,17.998676556649368,0.8780948933986492,0.8780948933986493,0.8960228020474963,0.9666572600999986,3.9292890588462672,0.3491491180015682,15.680292061105366,10.366476513165258,0.8840374431927396,0.9403677798880845,2.158049028366804e-08,89.1891891891892,2.3575242826262035,7.703939587977792,14.709023475646973
8192,8.470305571684966,16.641581688520546,0.8957850665035688,0.8957850665035689,0.9003405171065417,0.9713701538958581,3.465979396181814,0.32282337817507073,14.754754303516423,10.333675714282261,0.9004088429140285,0.9493057962658797,4.0236045606434345e-08,89.1891891891892,1.9686931589165249,7.298604016269135,13.918220520019531
16384,8.121597882863638,17.284925866768727,0.8875716606435523,0.8875716606435524,0.8909607754960106,0.9688736284563773,3.984478385227898,0.33530335422774393,15.56559327180628,10.535104089958804,0.8936823164509023,0.9458806436778361,5.398760549724102e-09,89.1891891891892,2.4267389556846104,7.620917045704413,14.219186782836914
32768,9.873072933506322,18.669933166472358,0.8688324882685251,0.8688324882685252,0.8853819180208159,0.9633910956563354,2.3609874721263457,0.3621705561353535,17.148612970701784,11.973592755495266,0.8709780066362292,0.933569012059953,5.788315320387483e-07,83.78378378378379,1.232797714453694,7.3917841764741805,14.952398300170898
555,8.900157516067093,18.006346667591135,0.8779909718776413,0.8779909718776414,0.8914708413493152,0.9663282782456081,3.379473337064293,0.3492979074118265,15.91175193766709,10.962053356712884,0.8823868224421553,0.9396426455437646,3.565073711797595e-07,86.48648648648648,1.8635447822712563,7.7726604789517095,14.468090057373047
