,mean,std,min,max,cv
MAE,9.073466749449034,0.7124883865134394,8.121597882863638,10.671027982557142,7.852438391851176
RMSE,18.145445289436232,0.9602430316407538,16.52421785365927,20.763493606984767,5.291923214441524
NSE,0.8757516780621085,0.013347590742376497,0.8377660992841041,0.8972498232822053,1.5241296220394742
KGE,0.892739161549426,0.007743066551190792,0.8748948168878155,0.9035907549253737,0.8673380628765844
R2,0.8757516780621083,0.01334759074237651,0.8377660992841038,0.8972498232822052,1.5241296220394762
Willmott's d,0.9656878470828669,0.0038424230423052676,0.9545870883545858,0.9714713295969938,0.39789493608255483
PBIAS (%),3.2314688709570114,0.6180124790889078,2.1746248054605757,4.058472400422551,19.124816105276494
RSR,0.35199622586760804,0.01862736999074862,0.3205466841471446,0.4027826966439753,5.291923212967283
MAPE (%),16.492277056011222,0.9760327677024645,14.754754303516423,18.251413784833872,5.918120126054972
SMAPE (%),11.417454301652594,0.8885897835550687,10.112530455399298,13.413824283898412,7.782731247005464
Explained Var,0.8799179337086003,0.013993432652709518,0.8397610249647535,0.9022963937879334,1.5903111091441138
Pearson r,0.9382501250884105,0.007594981096975548,0.9164089712254336,0.9505668949595587,0.8094836220192771
