,MAE,RMSE,R2,NSE,KGE,Willmott's d,PBIAS (%),RSR,MAPE (%),SMAPE (%),Explained Var,Pearson r
ERA5,19.84,25.96,0.746,0.746,0.814,0.924,-0.248,0.504,33.519,26.506,0.746,0.864
PINN_avg,8.812,17.865,0.88,0.88,0.894,0.967,3.203,0.347,15.794,10.716,0.884,0.94
