date,observed_swe,ERA5_Land,PINN_prediction,PINN_std,PINN_physics,PINN_correction,n_predictions,bias_vs_ERA5,absolute_error,is_observed
2021-10-13,,0.9594758152961731,0.9594758152961731,0.0,0.9594758152961731,0.0,1,0.0,,False
2021-10-14,,0.6272196769714355,0.0,0.0,1.2497868537902832,-6.859667778015137,1,-0.6272196769714355,,False
2021-10-15,,0.37620463967323303,0.0,0.0,0.1991218626499176,-6.373692512512207,1,-0.37620463967323303,,False
2021-10-16,,0.23955106735229492,0.0,0.0,0.31989049911499023,-6.857494831085205,1,-0.23955106735229492,,False
2021-10-17,,0.15155474841594696,0.0,0.0,0.19520971179008484,-6.1517534255981445,1,-0.15155474841594696,,False
2021-10-18,,0.09699662774801254,0.0,0.0,0.04006131738424301,-5.215409278869629,1,-0.09699662774801254,,False
2021-10-19,,0.06268421560525894,0.0,0.0,0.17549313604831696,-5.8596720695495605,1,-0.06268421560525894,,False
2021-10-20,,0.03745158389210701,0.0,0.0,0.5578445792198181,-7.4469451904296875,1,-0.03745158389210701,,False
2021-10-21,,0.015020370483398438,0.0,0.0,0.847386360168457,-8.36986255645752,1,-0.015020370483398438,,False
2021-10-22,,0.4468957483768463,0.0,0.0,0.2571202516555786,-5.564886569976807,1,-0.4468957483768463,,False
2021-10-23,,0.3428459167480469,0.17142295837402344,0.17142295837402344,0.3415914922952652,-3.1875386238098145,2,-0.17142295837402344,,False
2021-10-24,,0.10542074590921402,0.0,0.0,0.46301424503326416,-4.546072244644165,2,-0.10542074590921402,,False
2021-10-25,,0.050266582518815994,0.0,0.0,0.22900043055415154,-4.213862776756287,2,-0.050266582518815994,,False
2021-10-26,,0.023980936035513878,0.0,0.0,0.3897727057337761,-4.666539907455444,2,-0.023980936035513878,,False
2021-10-27,,1.419087290763855,0.0,0.0,0.09463268890976906,-2.9466209411621094,2,-1.419087290763855,,False
2021-10-28,,1.8247565031051636,0.0,0.0,0.0,-2.2998028993606567,2,-1.8247565031051636,,False
2021-10-29,,1.1929670572280884,0.0,0.0,0.13388196378946304,-2.8454072177410126,2,-1.1929670572280884,,False
2021-10-30,,0.8370677828788757,0.0,0.0,0.06278442591428757,-2.7951691150665283,2,-0.8370677828788757,,False
2021-10-31,,1.9107857942581177,0.0,0.0,0.18240045011043549,-2.5576119422912598,2,-1.9107857942581177,,False
2021-11-01,,2.761960029602051,0.9309917092323303,0.9309917092323303,0.15785875916481018,-1.6084687858819962,2,-1.8309683203697205,,False
2021-11-02,,2.2663474082946777,0.2859567403793335,0.2859567403793335,1.25855253636837,-2.377849817276001,2,-1.9803906679153442,,False
2021-11-03,,3.0336976051330566,1.9960285425186157,0.9251582185104358,1.2030252179441352,-0.08719783027966817,3,-1.037669062614441,,False
2021-11-04,,3.025650978088379,2.4354735215504966,1.6674982623294579,2.000434696674347,-0.05376523733139038,3,-0.5901774565378823,,False
2021-11-05,,2.9539663791656494,2.433792074521383,1.6137213692454628,2.4409547249476113,-0.23991256207227707,3,-0.5201743046442666,,False
2021-11-06,,2.6987593173980713,1.7851171890894573,1.7986776601114065,2.439508636792501,-0.7896982828776041,3,-0.913642128308614,,False
2021-11-07,,2.447783946990967,1.7723952134450276,1.6326668963177693,1.7865463892618816,-0.546800951162974,3,-0.6753887335459392,,False
2021-11-08,,2.3035008907318115,1.5618709325790405,1.5920636087197753,1.7791258096694946,-0.7264943520228068,3,-0.741629958152771,,False
2021-11-09,,2.219974994659424,1.602125883102417,1.5212297838080047,1.5690210064252217,-0.5540390213330587,3,-0.6178491115570068,,False
2021-11-10,,2.078751802444458,1.4614555835723877,1.4434831269224073,1.7188326676065724,-0.7821425000826517,3,-0.6172962188720703,,False
2021-11-11,,1.852869987487793,1.3561219175656636,1.3451426080574107,1.6326751814534266,-0.7602463265260061,3,-0.4967480699221294,,False
2021-11-12,,1.5899935960769653,0.8731396595637003,0.8239683896599075,2.2731445456544557,-1.606361945470174,3,-0.716853936513265,,False
2021-11-13,,1.4523863792419434,1.2641518712043762,1.2075851147555627,1.0202284218830755,-0.23082521557807922,4,-0.18823450803756714,,False
2021-11-14,,1.271367073059082,1.4054303467273712,1.3218485610630033,2.5926400050520897,-0.9672839716076851,4,0.13406327366828918,,False
2021-11-15,,2.655585527420044,3.001187413930893,1.9783218706367796,1.4840901531279087,0.9575988948345184,4,0.345601886510849,,False
2021-11-16,,4.206955432891846,4.218939185142517,1.8401850850455108,3.1357731223106384,0.5871129259467125,4,0.011983752250671387,,False
2021-11-17,,7.620235443115234,8.781689882278442,3.388011106766561,4.458641231060028,2.782726228237152,4,1.161454439163208,,False
2021-11-18,,11.426846504211426,10.785421562194824,1.8334142714731545,9.388365173339844,0.4320789724588394,5,-0.6414249420166023,,False
2021-11-19,,12.715856552124023,15.26174259185791,3.8334497232425457,10.810295009613037,3.529344934225082,5,2.5458860397338867,,False
2021-11-20,,12.775818824768066,14.958098220825196,3.410818986529946,15.257133865356446,1.0012065172195435,5,2.1822793960571296,,False
2021-11-21,,12.624542236328125,15.607099914550782,4.08878368622037,14.953593063354493,1.8464024782180786,5,2.9825576782226566,,False
2021-11-22,,13.158638954162598,16.000223922729493,5.198140068291694,15.683255386352538,1.602652108669281,5,2.8415849685668952,,False
2021-11-23,,16.935646057128906,20.861618518829346,5.843869966880754,16.354652881622314,4.240432644883792,6,3.9259724617004395,,False
2021-11-24,,18.691143035888672,20.93826134999593,5.565435317218018,20.86385711034139,1.2266012926896412,6,2.247118314107258,,False
2021-11-25,,16.95191764831543,20.20088005065918,6.250793795786119,21.23121738433838,1.1358335067828496,6,3.24896240234375,,False
2021-11-26,,17.618457794189453,21.4758882522583,6.062946508795926,20.20540126164754,2.6010632514953613,6,3.8574304580688477,,False
2021-11-27,,17.63202667236328,21.592121124267578,5.83994668744715,21.473002751668293,2.0805262625217438,6,3.960094451904297,,False
2021-11-28,,17.59815216064453,21.747167314801896,5.526232286977795,21.01737948826381,2.4534149169921875,7,4.1490151541573645,,False
2021-11-29,,17.606416702270508,22.091597148350306,5.7112230103599115,21.742306845528738,2.4303727746009827,7,4.485180446079799,,False
2021-11-30,,17.615039825439453,22.910518101283483,6.126510258343604,22.086821692330496,3.0459805577993393,7,5.2954782758440295,,False
2021-12-01,,37.217529296875,37.85605049133301,6.0515491891411575,24.694748640060425,6.881751395761967,8,0.6385211944580078,,False
2021-12-02,,37.2001953125,39.10428428649902,5.292897785490635,37.851287841796875,1.5906040715053678,8,1.9040889739990234,,False
2021-12-03,,37.87784194946289,40.62002658843994,5.498699021379309,39.20483112335205,2.0708839241415262,8,2.742184638977051,,False
2021-12-04,,40.466217041015625,45.20048713684082,6.2311981025710335,40.62073564529419,4.640951314941049,8,4.734270095825195,,False
2021-12-05,,40.50105285644531,45.306729793548584,6.499059557472602,45.19575595855713,2.4605436311103404,8,4.8056769371032715,,False
2021-12-06,,40.5761604309082,45.34858110215929,7.0592267829009945,44.81043455335829,2.6257885793844857,9,4.7724206712510835,,False
2021-12-07,,45.35512161254883,52.23075951470269,7.222769503981145,45.52522616916232,6.727510835561487,9,6.875637902153862,,False
2021-12-08,,47.6761474609375,53.75082778930664,7.7771964310508395,52.23287794325087,3.800742073191537,9,6.074680328369141,,False
2021-12-09,,47.790977478027344,55.53970082600912,7.8504747990833925,53.74799092610677,4.7593801120917005,9,7.748723347981773,,False
2021-12-10,,47.83975601196289,55.78568861219618,8.31573951883153,55.53726577758789,4.101165963957707,9,7.9459326002332915,,False
2021-12-11,,47.83609390258789,55.69698791503906,8.311499770694466,54.986301803588866,4.279834416508675,10,7.860894012451169,,False
2021-12-12,,48.48989486694336,56.52739562988281,8.510546072859142,55.79712600708008,4.382397000305355,10,8.037500762939452,,False
2021-12-13,,51.008724212646484,60.255680847167966,8.02206777844509,56.5871768951416,6.443040522933006,10,9.246956634521482,,False
2021-12-14,,52.70970153808594,61.10629730224609,8.47361900068002,60.269612884521486,4.635334858298302,10,8.396595764160153,,False
2021-12-15,,53.05894088745117,62.17941551208496,8.494197613863648,61.13212203979492,5.0860690712928776,10,9.120474624633786,,False
2021-12-16,,55.27154541015625,63.46967280994762,8.521839372343798,61.640594482421875,5.01186922734434,11,8.198127399791368,,False
2021-12-17,,56.1507682800293,64.55070738358931,8.801704648504638,63.46509205211293,4.742625274441459,11,8.399939103560015,,False
2021-12-18,,55.918155670166016,65.39893583817916,8.710942342576146,64.5459310358221,5.162348966706883,11,9.48078016801314,,False
2021-12-19,,56.0213508605957,65.68552710793234,9.23009458770457,65.45560906150125,4.944862723350525,11,9.664176247336641,,False
2021-12-20,,57.6941032409668,67.97834361683239,9.04610952845111,65.71178470958363,6.2584709254178135,11,10.284240375865593,,False
2021-12-21,,59.22888946533203,67.82310835520427,9.673723328511414,67.27210966746013,4.5733271551628905,12,8.594218889872238,,False
2021-12-22,,59.32651901245117,69.05481179555257,9.324164625207256,67.81817054748535,5.465150537590186,12,9.728292783101395,,False
2021-12-23,,59.87108612060547,69.73377863566081,9.68870093113576,69.08376661936443,5.239769770453374,12,9.862692515055343,,False
2021-12-24,,62.10218048095703,72.79581133524577,9.32381768294966,69.79355335235596,6.814312785863876,12,10.693630854288742,,False
2021-12-25,,62.32173156738281,72.85180568695068,9.626792895905567,72.79105885823567,5.282833357652028,12,10.530074119567871,,False
2021-12-26,,62.338321685791016,72.5594338637132,9.668609082352672,72.03855895996094,5.339966469086134,13,10.22111217792218,,False
2021-12-27,,62.623783111572266,73.84605525090144,9.026538343473659,72.57677459716797,6.210671099332663,13,11.222272139329178,,False
2021-12-28,,62.94819259643555,74.49276322584886,9.022559722191279,73.84201372586764,6.075738315398876,13,11.544570629413315,,False
