date,target_swe,ERA5,Ridge,RandomForest,XGBoost,CatBoost,Ensemble
2022-01-01,,65.27209847803962,72.43916347967216,70.5944740766393,81.00172424316406,67.75561472313024,73.1172710143112
2022-01-02,,65.2652459960125,67.16495624514499,72.12325550587926,80.994873046875,66.6011636369329,73.23976406322906
2022-01-03,,65.3576866570215,66.13298485704901,74.15566877925133,80.4786376953125,79.05100434764734,77.89510360740373
2022-01-04,,65.5980662988231,67.10292874462606,68.03842712717525,77.99073791503906,72.80696245638146,72.94537583286525
2022-01-05,,71.32602888672184,82.08935962658367,70.06195979861444,89.54548645019531,71.02635975616208,76.87793533499062
2022-01-06,,72.78754117965721,86.3676064630145,79.76113491170139,91.07203674316406,82.69746799550954,84.51021321679167
2022-01-07,,73.94737464750908,84.01167190840405,79.21432353084874,91.62318420410156,82.26502213907528,84.36750995800853
2022-01-08,,74.71305470609015,85.66275016953409,81.16992734734362,92.99755859375,80.41878635093728,84.8620907640103
2022-01-09,,75.11399275103138,84.47477634589622,83.39369722630218,93.380615234375,88.01528088295532,88.26319778121085
2022-01-10,103.0,75.6443816445635,86.09877980313482,85.38581110832553,96.6497573852539,90.60230844334096,90.8792923123068
2022-01-11,,75.72990197718866,85.18279184636667,84.88064793214394,93.70668029785156,92.73334430687484,90.44022417895678
2022-01-12,,75.74106270286642,82.54699251517732,82.82611323392922,93.71784210205078,84.54202461549129,87.02865998382377
2022-01-13,,75.85758882050527,82.49924967597227,84.32784319021539,93.83436584472656,90.17966431060388,89.44729111518194
2022-01-14,,77.11437473208686,83.37167349550663,78.21800566756342,93.53736877441406,82.68471212776082,84.81336218991277
2022-01-15,,82.8542782787654,95.660500617222,81.54427927968683,101.1978530883789,84.5625246680603,89.10155234537535
2022-01-16,,84.79692301026608,93.62559780816811,77.83412055622787,94.71649169921875,81.05753127583431,84.5360478437603
2022-01-17,,89.68579578163019,98.03750469355535,88.3648176861731,109.65525817871094,95.10327856674772,97.70778481054391
2022-01-18,,91.7994472552028,102.458641717712,99.80866638770777,109.05046081542969,102.23207247580049,103.69706655964599
2022-01-19,,92.13294602158044,97.96053319821004,102.43489411719499,109.38397216796875,107.90549615446207,106.57478747987527
2022-01-20,113.0,92.51264815687333,99.17542045019572,102.59028015564922,110.37235260009766,108.3310761283871,107.097902961378
2022-01-21,,92.6212023275995,97.81905116329354,102.56103517306722,110.48090362548828,110.53430969116317,107.8587494965729
2022-01-22,,92.73338627840926,96.89694530591107,102.73125409648608,110.59308624267578,110.08331020569938,107.8025501816204
2022-01-23,,92.765172296525,95.73340364800426,101.69697188830071,105.31771087646484,104.26341327877515,103.7593653478469
2022-01-24,,92.79224299284984,95.17669477861358,101.70060020705925,105.34477996826172,105.08156644471357,104.04231554001153
2022-01-25,,92.86002150319692,94.0405417549783,100.02946642135862,105.41255950927734,108.36085336938143,104.60095976667246
2022-01-26,,93.857736101705,94.36482927688792,94.70992352228194,103.07331085205078,97.81025274358375,98.53116237263883
2022-01-27,,95.94547026701674,102.72504330131092,105.85003476398327,113.19648742675781,108.49661648135039,109.18104622403048
2022-01-28,,96.0002901232334,101.29910880475244,106.31714474673534,113.85999298095703,106.77650981868645,108.98454918212627
2022-01-29,,96.00975468999358,99.28225680839752,106.71933944813023,108.56229400634766,99.36037019392204,104.88066788279997
2022-01-30,,96.04371179152392,96.7411068947927,108.14679617334411,107.98756408691406,109.49749291713599,108.5439510591314
2022-01-31,115.0,96.1006348847984,97.9568595962986,108.43433804938572,115.81328582763672,115.0253269122052,113.0909835964092
2022-02-01,,96.11749470443932,103.18708802954421,108.76299876774824,118.4638671875,109.7548471840598,112.32723771310266
2022-02-02,,96.12580588313553,102.3140532151017,106.87440350812594,118.47218322753906,97.15493634864215,107.50050769476906
2022-02-03,,96.14035892664845,101.10799910303457,108.32609882924076,118.48673248291016,105.57206554806089,110.79496562007061
2022-02-04,,96.15263911721183,99.5681954872301,108.12028093613552,113.19184112548828,105.28758847926645,108.86657018029673
2022-02-05,,96.16190014490198,98.4901007414627,106.91049776989239,118.5082778930664,98.75268430434767,108.0571533224355
2022-02-06,,96.17295910104464,97.25405991076924,108.03015042029502,118.51933288574219,100.42642603645987,108.99196978083235
2022-02-07,,96.1804561234604,96.1054012540535,108.05148922455353,105.01837158203125,107.43497392100245,106.83494490919576
2022-02-08,,96.7313685398955,96.79607807459332,106.18616102943692,105.56928253173828,110.21522019201537,107.32355458439685
2022-02-09,,97.27851548353344,100.01339182887745,108.40190259921515,121.65545654296875,112.81137167474078,114.28957693897489
